location,Michigan,Michigan,Michigan,Michigan
lat,47.99986,47.99986,47.99986,47.99986
lon,-97.96875,-97.96875,-97.96875,-97.96875
asl,416.050,416.050,416.050,416.050
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Michigan Temperature [2 m elevation corrected],Michigan Precipitation Total,Michigan Wind Speed [10 m],Michigan Wind Direction [10 m]
20200405T0000,-0.068676665,0.0,28.92005,148.94572
20200405T0100,-0.17867666,0.0,29.155895,160.24052
20200405T0200,-0.51867664,0.0,27.809147,175.05403
20200405T0300,-2.5686767,0.0,24.82099,192.3954
20200405T0400,-4.3886766,0.0,21.658827,211.93068
20200405T0500,-3.7486768,0.0,19.887434,230.9806
20200405T0600,-2.4386768,0.0,19.300674,243.78864
20200405T0700,-11.038676,0.0,5.2744513,225.0
20200405T0800,-9.7986765,0.0,4.802594,250.55997
20200405T0900,-7.6286764,0.0,3.996,270.0
20200405T1000,-4.2886767,0.0,4.3935814,284.03625
20200405T1100,-1.9986768,0.0,3.3907182,315.0
20200405T1200,-0.8986767,0.0,2.9304,360.0
20200405T1300,-0.34867668,0.0,3.4734309,32.47119
20200405T1400,0.25132334,0.0,3.996,53.130096
20200405T1500,0.9913233,0.0,4.765508,63.43495
20200405T1600,1.6713233,0.0,6.4378467,65.55604
20200405T1700,2.2013233,0.0,8.115368,66.8014
20200405T1800,2.4113233,0.0,10.389601,67.380135
20200405T1900,2.0313232,0.0,10.290077,68.7495
20200405T2000,0.9913233,0.0,10.010403,64.79888
20200405T2100,0.79132336,0.0,10.609278,61.50435
20200405T2200,0.81132334,0.0,12.035266,62.30053
20200405T2300,0.8813233,0.0,13.3625555,66.501434
20200406T0000,1.1113234,0.0,13.832293,74.35776
20200406T0100,1.3513234,0.0,14.241816,82.47618
20200406T0200,1.5813234,0.0,14.159354,85.683975
20200406T0300,1.6513233,0.0,13.8937235,85.60129
20200406T0400,1.4113233,0.0,13.651537,84.40066
20200406T0500,1.2213233,0.0,13.6800995,83.29016
20200406T0600,0.8913234,0.0,14.209388,83.54118
20200406T0700,0.021323323,0.0,15.984,89.99999
20200406T0800,0.33132333,0.0,13.752537,98.91492
20200406T0900,0.7413233,0.0,15.416712,99.95062
20200406T1000,1.2913234,0.0,16.766275,107.57126
20200406T1100,2.3813233,0.0,16.917973,116.16156
20200406T1200,4.0113235,0.0,17.225597,121.7236
20200406T1300,6.5413237,0.0,18.5507,125.05942
20200406T1400,8.831324,0.0,20.262169,129.1304
20200406T1500,9.991323,0.0,21.557009,129.98688
20200406T1600,10.781323,0.0,22.480434,130.67494
20200406T1700,11.291324,0.0,22.040476,134.5103
20200406T1800,11.411324,0.0,20.17793,137.67543
20200406T1900,11.341324,0.0,17.167822,138.14496
20200406T2000,8.381324,0.0,12.814919,136.6847
20200406T2100,6.5713234,0.0,12.245709,134.11859
20200406T2200,5.1513233,0.0,10.196545,146.72511
20200406T2300,4.2113237,0.0,7.53493,171.8699
20200407T0000,4.0913234,0.0,6.2191706,226.73572
20200407T0100,3.1813233,0.0,10.393015,268.5312
20200407T0200,3.2213233,0.0,14.796596,283.53586
20200407T0300,3.6813233,0.0,20.989885,293.9625
20200407T0400,3.4013233,0.0,26.918266,308.57126
20200407T0500,1.5513234,0.0,28.068247,314.61548
20200407T0600,-0.8486767,0.0,25.995508,315.0
20200407T0700,-2.3686767,0.0,21.670294,313.50568
20200407T0800,-1.1586766,0.0,14.439765,299.876
20200407T0900,0.82132334,0.0,16.698414,303.9436
20200407T1000,2.5113232,0.0,17.89645,314.3969
20200407T1100,4.1013236,0.0,15.771689,322.54944
20200407T1200,5.1713233,0.0,12.523634,321.91125
20200407T1300,5.7413235,0.0,10.420293,302.4712
20200407T1400,6.3913236,0.0,7.108438,282.99463
20200407T1500,9.551324,0.0,4.5366287,266.63354
20200407T1600,8.071323,0.0,5.117377,231.3402
20200407T1700,8.341324,0.0,7.766828,210.96376
20200407T1800,8.551324,0.0,10.615965,197.52557
20200407T1900,8.351323,0.0,11.217306,184.08562
20200407T2000,6.1413236,0.0,10.511835,171.25385
20200407T2100,3.941323,0.0,11.4552,180.0
20200407T2200,2.5013232,0.0,10.538806,196.14435
20200407T2300,2.0913234,0.0,11.904831,220.46223
20200408T0000,1.2413232,0.0,13.3625555,246.50143
20200408T0100,0.7813234,0.0,17.654903,275.19443
20200408T0200,0.17132333,0.0,23.660158,305.83765
20200408T0300,-0.18867667,0.0,24.51459,317.64255
20200408T0400,-0.82867664,0.0,23.030891,311.2483
20200408T0500,-0.98867667,0.0,21.885372,301.56183
20200408T0600,-1.4386766,0.0,21.802525,296.87814
20200408T0700,-1.7386768,0.0,22.644,295.05762
20200408T0800,0.011323333,0.0,23.421999,289.2593
20200408T0900,1.8513234,0.0,28.954382,295.622
20200408T1000,3.1413233,0.0,31.853464,299.5666
20200408T1100,4.4113235,0.0,32.714096,300.3236
20200408T1200,5.1613235,0.0,34.001244,299.57785
20200408T1300,4.0213237,0.0,35.06071,299.0969
20200408T1400,3.6313233,0.0,36.41504,300.31677
20200408T1500,3.5113232,0.0,36.949017,304.72128
20200408T1600,3.1113234,0.0,36.613285,308.20404
20200408T1700,2.4513233,0.0,35.327892,307.64764
20200408T1800,2.0913234,0.0,33.631878,305.32666
20200408T1900,1.9613233,0.0,32.875317,307.42706
20200408T2000,1.2013233,0.2,24.890942,312.39746
20200408T2100,-0.028676659,0.0,19.590816,315.0
20200408T2200,-0.98867667,0.0,16.415516,311.71075
20200408T2300,-1.3586767,0.0,18.319721,310.87244
20200409T0000,-0.98867667,0.0,20.75186,311.87787
20200409T0100,-0.8986767,0.0,23.1768,313.6028
20200409T0200,-1.7986767,0.0,25.431086,315.4244
20200409T0300,-2.1786766,0.0,26.383017,316.6366
20200409T0400,-2.4586768,0.0,28.318708,318.8141
20200409T0500,-2.7586768,0.0,30.751608,324.52002
20200409T0600,-3.0086768,0.0,32.68045,330.71857
20200409T0700,-3.3286767,0.0,34.217625,335.62988
20200409T0800,-3.4586768,0.0,29.342724,330.64227
20200409T0900,-2.9086766,0.0,33.275482,330.7672
20200409T1000,-1.9486766,0.0,35.98274,332.67612
20200409T1100,-0.93867666,0.0,36.841297,335.65894
20200409T1200,0.011323333,0.0,35.37106,337.87805
20200409T1300,-0.058676675,0.0,33.757202,336.2671
20200409T1400,1.0613234,0.0,32.288296,334.0692
20200409T1500,1.9813232,0.0,30.637161,331.42932
20200409T1600,3.0613232,0.0,29.742699,329.3003
20200409T1700,3.4313233,0.0,28.464937,328.39252
20200409T1800,3.3413234,0.0,26.545258,328.54318
20200409T1900,2.8213232,0.0,23.211987,328.13403
20200409T2000,0.7613233,0.0,13.234477,319.8991
20200409T2100,-1.1686766,0.0,11.029089,307.1467
20200409T2200,-2.0886767,0.0,9.51984,287.92792
20200409T2300,-2.7086768,0.0,9.061517,271.6847
20200410T0000,-1.9886768,0.0,8.411661,259.04596
20200410T0100,-1.8186767,0.0,8.014169,248.55226
20200410T0200,-2.0086768,0.0,8.951199,233.47115
20200410T0300,-1.8586767,0.0,9.9997635,228.2397
20200410T0400,-1.3686767,0.0,10.362241,223.95837
20200410T0500,-1.1686766,0.0,11.504656,222.18445
20200410T0600,-0.93867666,0.0,12.622413,225.8551
