location,Kathmandu,Kathmandu,Kathmandu,Kathmandu
lat,27.80793,27.80793,27.80793,27.80793
lon,85.30983,85.30983,85.30983,85.30983
asl,1260.200,1260.200,1260.200,1260.200
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Kathmandu Temperature [2 m elevation corrected],Kathmandu Precipitation Total,Kathmandu Wind Speed [10 m],Kathmandu Wind Direction [10 m]
20200405T0000,15.710799,0.0,4.802594,19.440033
20200405T0100,15.240799,0.0,4.765508,26.565033
20200405T0200,14.620799,0.0,4.802594,33.690063
20200405T0300,14.010799,0.0,5.117377,38.659805
20200405T0400,13.670799,0.0,5.466071,43.025055
20200405T0500,13.4307995,0.0,5.466071,46.97493
20200405T0600,15.000799,0.0,3.8420756,56.30993
20200405T0700,19.3008,0.0,2.4560864,102.52881
20200405T0800,23.2608,0.0,3.118132,160.01689
20200405T0900,25.2208,0.0,3.9603205,199.65382
20200405T1000,26.4008,0.0,4.5833187,234.46233
20200405T1100,27.1508,0.0,5.433515,258.69006
20200405T1200,27.4808,0.0,6.9315205,272.2026
20200405T1300,27.4308,0.0,9.460013,279.7276
20200405T1400,27.1808,0.0,11.182454,282.38077
20200405T1500,26.830801,0.0,12.225409,281.30994
20200405T1600,26.3108,0.0,12.622413,277.275
20200405T1700,23.4608,0.0,14.738928,276.22583
20200405T1800,20.420801,0.0,8.599398,286.1892
20200405T1900,19.3408,0.0,7.348971,316.4688
20200405T2000,18.5108,0.0,7.329631,340.90652
20200405T2100,17.3508,0.0,7.2713056,351.57306
20200405T2200,16.6008,0.0,6.6812778,355.4261
20200405T2300,16.3808,0.0,5.8668513,357.39746
20200406T0000,16.3108,0.0,5.5943995,360.0
20200406T0100,16.1008,0.0,5.8668513,2.6025543
20200406T0200,15.870799,0.0,5.694981,10.7842865
20200406T0300,15.4808,0.0,5.2474713,23.962479
20200406T0400,14.8907995,0.0,5.117377,38.659805
20200406T0500,14.1908,0.0,5.466071,46.97493
20200406T0600,15.500799,0.0,4.212154,55.304832
