location,Pokhara,Pokhara,Pokhara,Pokhara
lat,28.26469,28.26469,28.26469,28.26469
lon,83.98434,83.98434,83.98434,83.98434
asl,1057.200,1057.200,1057.200,1057.200
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Pokhara Temperature [2 m elevation corrected],Pokhara Precipitation Total,Pokhara Wind Speed [10 m],Pokhara Wind Direction [10 m]
20200405T0000,19.049799,0.0,13.586399,360.0
20200405T0100,18.469799,0.0,14.119201,360.0
20200405T0200,17.8398,0.0,14.3856,360.0
20200405T0300,17.6398,0.0,14.388066,1.0609131
20200405T0400,16.3998,0.0,15.737906,2.910843
20200405T0500,14.929799,0.0,16.2853,3.7517242
20200405T0600,16.8998,0.0,13.8937235,4.398697
20200405T0700,21.7398,0.0,5.068606,3.0127716
20200405T0800,25.049799,0.0,3.4734309,212.47119
20200405T0900,26.6098,0.0,5.619714,211.42957
20200405T1000,27.9298,0.0,6.579594,211.75949
20200405T1100,28.9098,0.0,7.0331616,217.30396
20200405T1200,29.629799,0.0,7.544342,227.86241
20200405T1300,30.0798,0.0,8.132838,238.3925
20200405T1400,30.1798,0.0,8.762899,250.46335
20200405T1500,29.9898,0.0,8.150272,258.69006
20200405T1600,29.459799,0.0,6.6812778,265.4261
20200405T1700,26.879799,0.0,4.1698194,243.43495
20200405T1800,24.969799,0.0,2.5272923,341.56506
20200405T1900,22.8498,0.0,8.00974,3.8140564
20200405T2000,21.2298,0.0,9.914233,6.1701508
20200405T2100,19.4898,0.0,10.389601,360.0
20200405T2200,18.5198,0.0,10.709147,354.28943
20200405T2300,18.959799,0.0,10.9742565,354.4278
20200406T0000,19.0698,0.0,11.467584,357.337
20200406T0100,18.5798,0.0,11.467584,357.337
20200406T0200,18.289799,0.0,12.2544,360.0
20200406T0300,17.8898,0.0,14.388066,1.0609131
20200406T0400,17.0598,0.0,16.536123,2.7702026
20200406T0500,16.549799,0.0,17.082869,3.5763245
20200406T0600,17.6698,0.0,14.67378,3.122116
20200406T0700,22.2498,0.0,7.4592,360.0
20200406T0800,25.4098,0.0,2.8815567,213.69006
20200406T0900,26.6798,0.0,5.485512,209.05461
20200406T1000,27.969799,0.0,7.766828,210.96376
20200406T1100,29.2498,0.0,8.154626,218.3675
20200406T1200,30.4198,0.0,7.53493,225.0
20200406T1300,31.2398,0.0,6.9926825,229.63547
20200406T1400,31.5698,0.0,5.1725526,235.49149
20200406T1500,31.3998,0.0,4.057684,246.8014
20200406T1600,30.8098,0.0,1.5984001,270.0
20200406T1700,28.3098,0.0,4.2624,270.0
20200406T1800,25.129799,0.0,14.996688,12.307999
20200406T1900,20.9198,0.0,14.584031,9.462311
20200406T2000,18.959799,0.0,14.474128,6.340164
20200406T2100,18.199799,0.0,16.27004,2.815567
20200406T2200,17.2498,0.0,16.259132,1.8778687
20200406T2300,17.0698,0.0,15.4512005,360.0
20200407T0000,17.1098,0.0,14.652,360.0
20200407T0100,17.3398,0.0,14.654423,358.95837
20200407T0200,17.1898,0.0,15.453498,359.01227
20200407T0300,16.3998,0.0,16.518946,359.07596
20200407T0400,16.1598,0.0,17.0496,360.0
20200407T0500,15.6698,0.0,18.123034,1.6846771
20200407T0600,17.949799,0.0,17.824926,9.462311
20200407T0700,22.279799,0.0,5.068606,3.0127716
20200407T0800,25.5698,0.0,2.9424841,185.19443
20200407T0900,27.2398,0.0,4.802594,183.17982
20200407T1000,28.4898,0.0,5.8182635,195.9454
20200407T1100,29.4998,0.0,6.2134624,210.96376
20200407T1200,30.3098,0.0,7.743951,229.18492
20200407T1300,30.7598,0.0,8.823432,241.11342
20200407T1400,30.8498,0.0,9.414894,244.88516
20200407T1500,30.6598,0.0,8.697869,242.65013
20200407T1600,30.0998,0.0,7.74395,243.43495
20200407T1700,28.629799,0.0,4.057684,246.8014
20200407T1800,25.969799,0.0,13.271961,10.407715
20200407T1900,22.3498,0.0,13.944709,6.5819397
20200407T2000,19.5998,0.0,14.447136,5.290085
20200407T2100,18.8898,0.0,14.712421,5.194412
20200407T2200,18.1798,0.0,13.097022,4.666855
20200407T2300,17.5898,0.0,12.54628,3.6522217
20200408T0000,17.5098,0.0,12.257295,358.75464
20200408T0100,18.0098,0.0,12.53213,357.56335
20200408T0200,19.219799,0.0,12.789975,358.80652
20200408T0300,19.3498,0.0,14.3856,360.0
20200408T0400,19.129799,0.0,15.4512005,360.0
20200408T0500,18.6098,0.0,15.7176,360.0
20200408T0600,19.3298,0.0,16.653728,7.352371
20200408T0700,23.3998,0.0,4.861344,9.462311
20200408T0800,26.4798,0.0,3.7105224,201.0375
20200408T0900,28.0998,0.0,4.057684,203.1986
20200408T1000,29.1898,0.0,6.074855,217.87498
20200408T1100,30.1898,0.0,7.911676,225.0
20200408T1200,30.8898,0.0,8.365129,232.76517
20200408T1300,29.5598,0.0,8.102239,260.5377
20200408T1400,29.4198,0.0,9.418663,278.1301
20200408T1500,29.3998,0.0,10.283178,286.55707
20200408T1600,28.4798,0.0,9.889147,297.25534
20200408T1700,27.8098,0.0,6.4046903,315.0
20200408T1800,24.4098,0.0,8.5248,360.0
20200408T1900,21.6398,0.1,8.827452,354.80554
20200408T2000,20.9898,0.0,8.5621805,354.6442
20200408T2100,19.9398,0.0,15.154391,349.87534
20200408T2200,19.2598,0.0,19.1808,360.0
20200408T2300,18.449799,0.0,19.463615,2.3532867
20200409T0000,17.8398,0.0,18.429796,4.144623
20200409T0100,17.3498,0.0,18.398964,2.4895477
20200409T0200,16.8198,0.0,16.52539,1.8475952
20200409T0300,16.5098,0.0,16.259132,1.8778687
20200409T0400,16.0298,0.0,16.252583,0.93917847
20200409T0500,15.9998,0.0,15.984,360.0
20200409T0600,18.8998,0.0,17.217356,8.00473
20200409T0700,22.6798,0.0,4.861344,9.462311
20200409T0800,25.539799,0.0,3.1968002,180.0
20200409T0900,26.9998,0.0,4.5288,180.0
20200409T1000,28.2298,0.0,4.824709,186.3402
20200409T1100,29.1598,0.0,4.897704,202.38014
20200409T1200,29.699799,0.0,4.713097,227.2906
20200409T1300,29.9098,0.0,5.1243067,261.02737
20200409T1400,29.8398,0.0,6.9263997,270.0
20200409T1500,29.5898,0.0,7.36826,282.5288
20200409T1600,28.4198,0.0,6.487264,289.17902
20200409T1700,27.709799,0.0,3.8420756,303.69006
20200409T1800,24.539799,0.0,13.583788,11.309921
20200409T1900,20.6898,0.0,16.162819,8.530762
20200409T2000,18.9798,0.0,13.8937235,4.398697
20200409T2100,18.7298,0.0,13.752537,8.914917
20200409T2200,18.6698,0.0,11.038736,8.325638
20200409T2300,19.6098,0.0,8.80733,3.468216
20200410T0000,19.9098,0.0,7.730192,358.0251
20200410T0100,19.629799,0.0,7.237064,353.65985
20200410T0200,19.2598,0.0,6.9723544,353.41806
20200410T0300,18.8998,0.0,6.744709,350.90973
20200410T0400,18.789799,0.0,6.9468617,355.60132
20200410T0500,18.6698,0.0,6.9468617,355.60132
20200410T0600,19.8498,0.0,13.489418,9.090271
20200410T0700,23.0798,0.0,1.332,36.86989
20200410T0800,25.5698,0.0,3.5039446,171.25385
20200410T0900,27.209799,0.0,5.619714,174.55966
20200410T1000,28.469799,0.0,6.179102,172.56859
20200410T1100,29.4298,0.0,5.619714,174.55966
20200410T1200,30.1898,0.0,5.328,180.0
20200410T1300,30.619799,0.0,6.0748544,195.25513
20200410T1400,30.619799,0.0,5.9568853,206.56505
20200410T1500,30.2398,0.0,5.394189,212.90524
20200410T1600,29.5798,0.0,5.089565,222.8789
20200410T1700,28.0798,0.0,2.664,233.1301
20200410T1800,24.8098,0.0,13.698245,13.495728
20200410T1900,21.6098,0.0,15.3151045,13.069305
20200410T2000,19.4098,0.0,14.181891,5.3892975
20200410T2100,19.199799,0.0,13.91669,5.492325
20200410T2200,19.4198,0.0,13.977751,7.666794
20200410T2300,19.529799,0.0,13.415561,6.8427734
20200411T0000,19.7298,0.0,12.566062,4.864502
20200411T0100,19.7398,0.0,12.566062,4.864502
20200411T0200,19.4998,0.0,13.097022,4.666855
20200411T0300,19.199799,0.0,13.121384,5.8263397
20200411T0400,19.0798,0.0,13.3625555,4.573929
20200411T0500,19.0198,0.0,13.330651,2.2906036
20200411T0600,20.1398,0.0,14.738928,6.22583
20200411T0700,23.629799,0.0,2.9784424,10.30484
20200411T0800,25.8098,0.0,4.075136,191.30994
20200411T0900,27.199799,0.0,5.5625954,196.69925
20200411T1000,28.4898,0.0,5.9568853,206.56505
20200411T1100,29.529799,0.0,6.595754,226.63658
20200411T1200,30.279799,0.0,8.228268,240.9454
20200411T1300,30.779799,0.0,8.27128,255.06857
20200411T1400,30.8598,0.0,8.326864,262.6476
20200411T1500,30.6098,0.0,7.463956,267.9546
20200411T1600,30.0998,0.0,6.179102,262.5686
20200411T1700,29.0998,0.0,3.118132,250.0169
20200411T1800,26.049799,0.0,13.151097,6.981064
20200411T1900,23.0098,0.0,14.738928,6.22583
20200411T2000,21.2398,0.0,11.458298,1.3322144
20200411T2100,21.6098,0.0,7.1928,360.0
20200411T2200,22.0798,0.0,6.3936005,360.0
20200411T2300,21.8598,0.0,6.4817924,350.5377
20200412T0000,21.3498,0.0,7.3150935,349.50854
20200412T0100,20.5698,0.0,8.150272,348.69006
20200412T0200,20.0998,0.0,9.623642,355.23636
20200412T0300,19.789799,0.0,10.656,360.0
20200412T0400,19.5098,0.0,12.2544,360.0
20200412T0500,19.1598,0.0,14.67378,3.122116
20200412T0600,20.549799,0.0,12.326578,6.20343
20200412T0700,24.1098,0.0,1.0656,360.0
20200412T0800,25.619799,0.0,4.3038235,201.8014
20200412T0900,27.129799,0.0,6.6812778,203.49857
20200412T1000,28.2698,0.0,7.5207877,202.9321
20200412T1100,29.5698,0.0,8.578741,216.15819
20200412T1200,30.789799,0.0,9.232211,223.83087
20200412T1300,31.7498,0.0,9.049762,222.61406
20200412T1400,32.0498,0.0,8.154626,218.3675
20200412T1500,31.969799,0.0,7.572511,219.28941
20200412T1600,31.5798,0.0,6.448861,218.29016
20200412T1700,30.3898,0.0,4.057684,203.1986
20200412T1800,27.959799,0.0,2.3976,360.0
20200412T1900,26.7698,0.0,7.197732,2.1210938
20200412T2000,25.2698,0.0,7.992,360.0
20200412T2100,24.3398,0.0,7.766828,354.09387
20200412T2200,23.7298,0.0,7.2713056,351.57306
20200412T2300,23.449799,0.0,7.2713056,351.57306
